seriename,date,value
DNK,1.6.2001,-0.05493
DNK,1.9.2001,-0.06815
DNK,1.12.2001,-0.07798
DNK,1.3.2002,-0.083
DNK,1.6.2002,-0.08245
DNK,1.9.2002,-0.07596
DNK,1.12.2002,-0.06362
DNK,1.3.2003,-0.04626
DNK,1.6.2003,-0.0253
DNK,1.9.2003,-0.00232
DNK,1.12.2003,0.02106
DNK,1.3.2004,0.04351
DNK,1.6.2004,0.06411
DNK,1.9.2004,0.082
DNK,1.12.2004,0.09641
DNK,1.3.2005,0.10683
DNK,1.6.2005,0.11267
DNK,1.9.2005,0.11337
DNK,1.12.2005,0.10864
DNK,1.3.2006,0.09837
DNK,1.6.2006,0.08252
DNK,1.9.2006,0.06154
DNK,1.12.2006,0.03623
DNK,1.3.2007,0.00791
DNK,1.6.2007,-0.02122
DNK,1.9.2007,-0.04854
DNK,1.12.2007,-0.0718
DNK,1.3.2008,-0.08918
DNK,1.6.2008,-0.09944
DNK,1.9.2008,-0.1021
DNK,1.12.2008,-0.09719
DNK,1.3.2009,-0.08558
DNK,1.6.2009,-0.0694
DNK,1.9.2009,-0.05146
DNK,1.12.2009,-0.03427
DNK,1.3.2010,-0.01968
DNK,1.6.2010,-0.00878
DNK,1.9.2010,-0.00197
DNK,1.12.2010,0.00072
DNK,1.3.2011,-0.00019
DNK,1.6.2011,-0.00326
DNK,1.9.2011,-0.00652
DNK,1.12.2011,-0.00825
DNK,1.3.2012,-0.00744
DNK,1.6.2012,-0.00387
DNK,1.9.2012,0.00215
DNK,1.12.2012,0.01011
DNK,1.3.2013,0.01929
DNK,1.6.2013,0.02865
DNK,1.9.2013,0.03678
DNK,1.12.2013,0.04245
DNK,1.3.2014,0.04498
DNK,1.6.2014,0.04427
DNK,1.9.2014,0.04067
DNK,1.12.2014,0.03474
DNK,1.3.2015,0.02705
DNK,1.6.2015,0.01829
DNK,1.9.2015,0.00937
DNK,1.12.2015,0.0011
DNK,1.3.2016,-0.00595
DNK,1.6.2016,-0.01148
DNK,1.9.2016,-0.01556
DNK,1.12.2016,-0.01842
DNK,1.3.2017,-0.02019
DNK,1.6.2017,-0.02113
DNK,1.9.2017,-0.02155
ESP,1.6.1985,0.01628
ESP,1.9.1985,0.01993
ESP,1.12.1985,0.02645
ESP,1.3.1986,0.03454
ESP,1.6.1986,0.0429
ESP,1.9.1986,0.05024
ESP,1.12.1986,0.05541
ESP,1.3.1987,0.05739
ESP,1.6.1987,0.05557
ESP,1.9.1987,0.05008
ESP,1.12.1987,0.04161
ESP,1.3.1988,0.03124
