seriename,date,value
ESP,1.3.2007,0.03497
ESP,1.6.2007,0.01376
ESP,1.9.2007,-0.00714
ESP,1.12.2007,-0.02575
ESP,1.3.2008,-0.04053
ESP,1.6.2008,-0.05048
ESP,1.9.2008,-0.05505
ESP,1.12.2008,-0.05428
ESP,1.3.2009,-0.04911
ESP,1.6.2009,-0.04143
ESP,1.9.2009,-0.03362
ESP,1.12.2009,-0.02783
ESP,1.3.2010,-0.0254
ESP,1.6.2010,-0.02676
ESP,1.9.2010,-0.03175
ESP,1.12.2010,-0.03968
ESP,1.3.2011,-0.04921
ESP,1.6.2011,-0.05846
ESP,1.9.2011,-0.06518
ESP,1.12.2011,-0.06739
ESP,1.3.2012,-0.06408
ESP,1.6.2012,-0.05536
ESP,1.9.2012,-0.04203
ESP,1.12.2012,-0.02554
ESP,1.3.2013,-0.00761
ESP,1.6.2013,0.00995
ESP,1.9.2013,0.02521
ESP,1.12.2013,0.03641
ESP,1.3.2014,0.04262
ESP,1.6.2014,0.0438
ESP,1.9.2014,0.04062
ESP,1.12.2014,0.03441
ESP,1.3.2015,0.0266
ESP,1.6.2015,0.0184
ESP,1.9.2015,0.01099
ESP,1.12.2015,0.00533
ESP,1.3.2016,0.00203
ESP,1.6.2016,0.0013
ESP,1.9.2016,0.00284
ESP,1.12.2016,0.00589
ESP,1.3.2017,0.00969
ESP,1.6.2017,0.01363
ESP,1.9.2017,0.01728
ESP,1.12.2017,0.0204
ESP,1.3.2018,0.02274
ESP,1.6.2018,0.02398
FIN,1.12.1971,0.11676
FIN,1.3.1972,0.11514
FIN,1.6.1972,0.11162
FIN,1.9.1972,0.10586
FIN,1.12.1972,0.09737
FIN,1.3.1973,0.08565
FIN,1.6.1973,0.07062
FIN,1.9.1973,0.05267
FIN,1.12.1973,0.03241
FIN,1.3.1974,0.01075
FIN,1.6.1974,-0.01118
FIN,1.9.1974,-0.03225
FIN,1.12.1974,-0.05135
FIN,1.3.1975,-0.06757
FIN,1.6.1975,-0.08042
FIN,1.9.1975,-0.08978
FIN,1.12.1975,-0.09568
FIN,1.3.1976,-0.09822
FIN,1.6.1976,-0.09759
FIN,1.9.1976,-0.09404
FIN,1.12.1976,-0.08792
FIN,1.3.1977,-0.07956
FIN,1.6.1977,-0.06928
FIN,1.9.1977,-0.05752
FIN,1.12.1977,-0.04489
FIN,1.3.1978,-0.03229
FIN,1.6.1978,-0.02076
FIN,1.9.1978,-0.01122
FIN,1.12.1978,-0.00435
FIN,1.3.1979,-0.00066
FIN,1.6.1979,-0.00024
FIN,1.9.1979,-0.00269
FIN,1.12.1979,-0.00718
FIN,1.3.1980,-0.01239
FIN,1.6.1980,-0.01671
FIN,1.9.1980,-0.01881
FIN,1.12.1980,-0.01759
FIN,1.3.1981,-0.01233
FIN,1.6.1981,-0.00298
FIN,1.9.1981,0.00979
FIN,1.12.1981,0.02471
FIN,1.3.1982,0.0399
FIN,1.6.1982,0.05327
FIN,1.9.1982,0.06301
FIN,1.12.1982,0.06763
FIN,1.3.1983,0.06618
FIN,1.6.1983,0.05849
FIN,1.9.1983,0.04527
FIN,1.12.1983,0.02807
FIN,1.3.1984,0.00914
FIN,1.6.1984,-0.00905
FIN,1.9.1984,-0.02428
FIN,1.12.1984,-0.03458
FIN,1.3.1985,-0.03846
FIN,1.6.1985,-0.03515
FIN,1.9.1985,-0.02465
FIN,1.12.1985,-0.00791
FIN,1.3.1986,0.01328
FIN,1.6.1986,0.0369
FIN,1.9.1986,0.06094
FIN,1.12.1986,0.08333
FIN,1.3.1987,0.10218
FIN,1.6.1987,0.11578
FIN,1.9.1987,0.12271
FIN,1.12.1987,0.12226
FIN,1.3.1988,0.11451
FIN,1.6.1988,0.09975
FIN,1.9.1988,0.0785
FIN,1.12.1988,0.05165
FIN,1.3.1989,0.02036
FIN,1.6.1989,-0.01371
FIN,1.9.1989,-0.04839
FIN,1.12.1989,-0.08167
FIN,1.3.1990,-0.11182
FIN,1.6.1990,-0.13697
FIN,1.9.1990,-0.15543
FIN,1.12.1990,-0.1658
FIN,1.3.1991,-0.167
FIN,1.6.1991,-0.15888
FIN,1.9.1991,-0.14237
FIN,1.12.1991,-0.11883
FIN,1.3.1992,-0.09008
FIN,1.6.1992,-0.0586
FIN,1.9.1992,-0.02718
FIN,1.12.1992,0.00136
FIN,1.3.1993,0.02429
FIN,1.6.1993,0.03982
FIN,1.9.1993,0.04735
FIN,1.12.1993,0.047
FIN,1.3.1994,0.03967
FIN,1.6.1994,0.02725
FIN,1.9.1994,0.01216
FIN,1.12.1994,-0.00293
FIN,1.3.1995,-0.01541
FIN,1.6.1995,-0.02343
FIN,1.9.1995,-0.02616
FIN,1.12.1995,-0.02333
FIN,1.3.1996,-0.01522
FIN,1.6.1996,-0.00279
FIN,1.9.1996,0.01272
FIN,1.12.1996,0.0299
FIN,1.3.1997,0.04735
FIN,1.6.1997,0.06425
FIN,1.9.1997,0.08011
FIN,1.12.1997,0.09446
FIN,1.3.1998,0.10677
FIN,1.6.1998,0.11638
FIN,1.9.1998,0.12234
FIN,1.12.1998,0.12374
FIN,1.3.1999,0.11962
FIN,1.6.1999,0.109
FIN,1.9.1999,0.09141
FIN,1.12.1999,0.06704
FIN,1.3.2000,0.03685
FIN,1.6.2000,0.00268
FIN,1.9.2000,-0.033
FIN,1.12.2000,-0.06743
FIN,1.3.2001,-0.0977
FIN,1.6.2001,-0.12123
FIN,1.9.2001,-0.13631
FIN,1.12.2001,-0.1421
FIN,1.3.2002,-0.13884
FIN,1.6.2002,-0.1277
FIN,1.9.2002,-0.11038
FIN,1.12.2002,-0.08895
FIN,1.3.2003,-0.06565
FIN,1.6.2003,-0.04247
FIN,1.9.2003,-0.02083
FIN,1.12.2003,-0.00156
FIN,1.3.2004,0.0152
FIN,1.6.2004,0.02978
FIN,1.9.2004,0.04252
FIN,1.12.2004,0.0537
FIN,1.3.2005,0.06344
FIN,1.6.2005,0.07151
FIN,1.9.2005,0.07734
FIN,1.12.2005,0.08023
FIN,1.3.2006,0.0793
FIN,1.6.2006,0.07369
FIN,1.9.2006,0.06302
FIN,1.12.2006,0.04758
FIN,1.3.2007,0.02827
FIN,1.6.2007,0.00688
FIN,1.9.2007,-0.01437
FIN,1.12.2007,-0.03341
FIN,1.3.2008,-0.04838
FIN,1.6.2008,-0.05775
FIN,1.9.2008,-0.0607
FIN,1.12.2008,-0.05723
FIN,1.3.2009,-0.04825
FIN,1.6.2009,-0.03574
FIN,1.9.2009,-0.02223
FIN,1.12.2009,-0.00994
FIN,1.3.2010,-0.00051
FIN,1.6.2010,0.005
FIN,1.9.2010,0.00623
FIN,1.12.2010,0.00341
FIN,1.3.2011,-0.00251
FIN,1.6.2011,-0.00978
FIN,1.9.2011,-0.01631
FIN,1.12.2011,-0.02036
FIN,1.3.2012,-0.021
FIN,1.6.2012,-0.01806
FIN,1.9.2012,-0.0119
FIN,1.12.2012,-0.00327
FIN,1.3.2013,0.00675
FIN,1.6.2013,0.01678
FIN,1.9.2013,0.02523
FIN,1.12.2013,0.03083
FIN,1.3.2014,0.03299
FIN,1.6.2014,0.03178
FIN,1.9.2014,0.02766
FIN,1.12.2014,0.02142
FIN,1.3.2015,0.0139
FIN,1.6.2015,0.00599
FIN,1.9.2015,-0.00128
