seriename,date,value
FIN,1.3.1994,0.04
FIN,1.6.1994,0.027
FIN,1.9.1994,0.012
FIN,1.12.1994,-0.003
FIN,1.3.1995,-0.015
FIN,1.6.1995,-0.023
FIN,1.9.1995,-0.026
FIN,1.12.1995,-0.023
FIN,1.3.1996,-0.015
FIN,1.6.1996,-0.003
FIN,1.9.1996,0.013
FIN,1.12.1996,0.03
FIN,1.3.1997,0.047
FIN,1.6.1997,0.064
FIN,1.9.1997,0.08
FIN,1.12.1997,0.095
FIN,1.3.1998,0.107
FIN,1.6.1998,0.117
FIN,1.9.1998,0.123
FIN,1.12.1998,0.124
FIN,1.3.1999,0.12
FIN,1.6.1999,0.109
FIN,1.9.1999,0.092
FIN,1.12.1999,0.067
FIN,1.3.2000,0.037
FIN,1.6.2000,0.003
FIN,1.9.2000,-0.033
FIN,1.12.2000,-0.067
FIN,1.3.2001,-0.098
FIN,1.6.2001,-0.121
FIN,1.9.2001,-0.136
FIN,1.12.2001,-0.142
FIN,1.3.2002,-0.139
FIN,1.6.2002,-0.128
FIN,1.9.2002,-0.11
FIN,1.12.2002,-0.089
FIN,1.3.2003,-0.066
FIN,1.6.2003,-0.043
FIN,1.9.2003,-0.021
FIN,1.12.2003,-0.002
FIN,1.3.2004,0.015
FIN,1.6.2004,0.03
FIN,1.9.2004,0.042
FIN,1.12.2004,0.053
FIN,1.3.2005,0.063
FIN,1.6.2005,0.071
FIN,1.9.2005,0.077
FIN,1.12.2005,0.08
FIN,1.3.2006,0.079
FIN,1.6.2006,0.073
FIN,1.9.2006,0.062
FIN,1.12.2006,0.047
FIN,1.3.2007,0.027
FIN,1.6.2007,0.006
FIN,1.9.2007,-0.016
FIN,1.12.2007,-0.035
FIN,1.3.2008,-0.049
FIN,1.6.2008,-0.059
FIN,1.9.2008,-0.061
FIN,1.12.2008,-0.058
FIN,1.3.2009,-0.049
FIN,1.6.2009,-0.036
FIN,1.9.2009,-0.022
FIN,1.12.2009,-0.01
FIN,1.3.2010,0
FIN,1.6.2010,0.005
FIN,1.9.2010,0.006
FIN,1.12.2010,0.004
FIN,1.3.2011,-0.002
FIN,1.6.2011,-0.009
FIN,1.9.2011,-0.016
FIN,1.12.2011,-0.02
FIN,1.3.2012,-0.02
FIN,1.6.2012,-0.017
FIN,1.9.2012,-0.011
FIN,1.12.2012,-0.003
FIN,1.3.2013,0.007
FIN,1.6.2013,0.017
FIN,1.9.2013,0.026
FIN,1.12.2013,0.032
FIN,1.3.2014,0.034
FIN,1.6.2014,0.034
FIN,1.9.2014,0.03
FIN,1.12.2014,0.025
FIN,1.3.2015,0.018
FIN,1.6.2015,0.01
FIN,1.9.2015,0.003
FIN,1.12.2015,-0.004
FIN,1.3.2016,-0.01
FIN,1.6.2016,-0.014
FIN,1.9.2016,-0.017
FIN,1.12.2016,-0.019
FRA,1.6.1970,-0.018
FRA,1.9.1970,-0.013
FRA,1.12.1970,-0.005
FRA,1.3.1971,0.005
FRA,1.6.1971,0.015
FRA,1.9.1971,0.025
FRA,1.12.1971,0.033
FRA,1.3.1972,0.037
FRA,1.6.1972,0.037
FRA,1.9.1972,0.032
FRA,1.12.1972,0.024
FRA,1.3.1973,0.013
FRA,1.6.1973,0.001
FRA,1.9.1973,-0.01
FRA,1.12.1973,-0.02
FRA,1.3.1974,-0.028
FRA,1.6.1974,-0.032
FRA,1.9.1974,-0.034
FRA,1.12.1974,-0.032
FRA,1.3.1975,-0.03
FRA,1.6.1975,-0.027
FRA,1.9.1975,-0.024
FRA,1.12.1975,-0.022
FRA,1.3.1976,-0.02
FRA,1.6.1976,-0.018
FRA,1.9.1976,-0.016
FRA,1.12.1976,-0.012
